PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
1179	10-nonadecenoate (19:1n9)	Lipid	Long Chain Fatty Acid	33972	LC/MS Neg	100001277
1154	10-undecenoate (11:1n1)	Lipid	Medium Chain Fatty Acid	32497	LC/MS Neg	100001197
1540	12,13-DiHOME	Lipid	Fatty Acid, Dihydroxy	38395	LC/MS Neg	62
1516	13-HODE + 9-HODE	Lipid	Fatty Acid, Monohydroxy	37752	LC/MS Neg	100002196
1272	13-methylmyristate (i15:0)	Lipid	Fatty Acid, Branched	38293	LC/MS Neg	100002344
1275	15-methylpalmitate (i17:0)	Lipid	Fatty Acid, Branched	38768	LC/MS Neg	100002945
2622	16a-hydroxy DHEA 3-sulfate	Lipid	Androgenic Steroids	38168	LC/MS Neg	100002126
1512	16-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	39609	LC/MS Neg	100002953
2552	17alpha-hydroxypregnenolone 3-sulfate	Lipid	Pregnenolone Steroids	37482	LC/MS Neg	100002128
1278	17-methylstearate (i19:0)	Lipid	Fatty Acid, Branched	38296	LC/MS Neg	100002356
2005	1-arachidonoyl-GPA (20:4)	Lipid	Lysophospholipid	46325	LC/MS Neg	100004442
2042	1-arachidonoyl-GPC (20:4n6)*	Lipid	Lysophospholipid	33228	LC/MS Pos Late	100001551
2082	1-arachidonoyl-GPE (20:4n6)*	Lipid	Lysophospholipid	35186	LC/MS Pos Late	100001571
2116	1-arachidonoyl-GPI (20:4)*	Lipid	Lysophospholipid	34214	LC/MS Neg	100001654
2255	1-dihomo-linolenylglycerol (20:3)	Lipid	Monoacylglycerol	48341	LC/MS Neg	100006121
4217	1H-indole-7-acetic acid	Xenobiotics	Bacterial/Fungal	57783	LC/MS Neg	100004601
2053	1-lignoceroyl-GPC (24:0)	Lipid	Lysophospholipid	49617	LC/MS Pos Late	100002873
2027	1-linolenoyl-GPC (18:3)*	Lipid	Lysophospholipid	45951	LC/MS Pos Late	100005350
1816	1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*	Lipid	Phosphatidylcholine (PC)	52710	LC/MS Pos Late	100009131
1813	1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*	Lipid	Phosphatidylcholine (PC)	53176	LC/MS Pos Late	100009343
2251	1-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	27447	LC/MS Neg	100001040
2003	1-linoleoyl-GPA (18:2)*	Lipid	Lysophospholipid	52690	LC/MS Neg	100009082
2025	1-linoleoyl-GPC (18:2)	Lipid	Lysophospholipid	34419	LC/MS Pos Late	100001395
2071	1-linoleoyl-GPE (18:2)*	Lipid	Lysophospholipid	36600	LC/MS Pos Late	100001570
2104	1-linoleoyl-GPG (18:2)*	Lipid	Lysophospholipid	54885	LC/MS Neg	100009227
2112	1-linoleoyl-GPI (18:2)*	Lipid	Lysophospholipid	36594	LC/MS Neg	100001778
83	1-methyl-4-imidazoleacetate	Amino Acid	Histidine Metabolism	32350	LC/MS Pos Early	100001208
3351	N1-methyladenosine	Nucleotide	Purine Metabolism, Adenine containing	15650	LC/MS Pos Early	1242
66	1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Neg	100001051
3487	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS Pos Early	55
3699	1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Neg	100001400
3705	1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405
1728	1-myristoyl-2-arachidonoyl-GPC (14:0/20:4)*	Lipid	Phosphatidylcholine (PC)	53195	LC/MS Pos Late	100009139
1724	1-myristoyl-2-palmitoyl-GPC (14:0/16:0)	Lipid	Phosphatidylcholine (PC)	19258	LC/MS Pos Late	100000672
1888	1-oleoyl-2-arachidonoyl-GPE (18:1/20:4)*	Lipid	Phosphatidylethanolamine (PE)	55041	LC/MS Pos Late	100009219
1811	1-oleoyl-2-docosahexaenoyl-GPC (18:1/22:6)*	Lipid	Phosphatidylcholine (PC)	52697	LC/MS Pos Late	100009130
1891	1-oleoyl-2-docosahexaenoyl-GPE (18:1/22:6)*	Lipid	Phosphatidylethanolamine (PE)	53209	LC/MS Pos Late	100009220
1885	1-oleoyl-2-linoleoyl-GPE (18:1/18:2)*	Lipid	Phosphatidylethanolamine (PE)	52687	LC/MS Pos Late	100009078
2250	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924
2022	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	48258	LC/MS Pos Late	100001272
2069	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	35628	LC/MS Pos Late	100001569
2102	1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	45968	LC/MS Neg	100005716
2110	1-oleoyl-GPI (18:1)*	Lipid	Lysophospholipid	36602	LC/MS Neg	100001777
1767	1-palmitoleoyl-2-linolenoyl-GPC (16:1/18:3)*	Lipid	Phosphatidylcholine (PC)	53180	LC/MS Pos Late	100009345
1766	1-palmitoleoyl-2-linoleoyl-GPC (16:1/18:2)*	Lipid	Phosphatidylcholine (PC)	52683	LC/MS Pos Late	100009075
2247	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52431	LC/MS Neg	100008952
2014	1-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid	33230	LC/MS Pos Late	100001511
1747	1-palmitoyl-2-alpha-linolenoyl-GPC (16:0/18:3n3)*	Lipid	Phosphatidylcholine (PC)	52684	LC/MS Pos Late	100009076
1755	1-palmitoyl-2-arachidonoyl-GPC (16:0/20:4n6)	Lipid	Phosphatidylcholine (PC)	52462	LC/MS Pos Late	100008914
1862	1-palmitoyl-2-arachidonoyl-GPE (16:0/20:4)*	Lipid	Phosphatidylethanolamine (PE)	52464	LC/MS Pos Late	100008990
1961	1-palmitoyl-2-arachidonoyl-GPI (16:0/20:4)*	Lipid	Phosphatidylinositol (PI)	52467	LC/MS Pos Late	100008993
1761	1-palmitoyl-2-docosahexaenoyl-GPC (16:0/22:6)	Lipid	Phosphatidylcholine (PC)	52610	LC/MS Pos Late	100008915
1864	1-palmitoyl-2-docosahexaenoyl-GPE (16:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	52465	LC/MS Pos Late	100008991
1748	1-palmitoyl-2-gamma-linolenoyl-GPC (16:0/18:3n6)*	Lipid	Phosphatidylcholine (PC)	54812	LC/MS Pos Late	100009154
1745	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	42446	LC/MS Pos Late	1537
1859	1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)	Lipid	Phosphatidylethanolamine (PE)	42449	LC/MS Pos Late	100001870
1959	1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)	Lipid	Phosphatidylinositol (PI)	52450	LC/MS Pos Late	1528
1742	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	52461	LC/MS Pos Late	1539
1858	1-palmitoyl-2-oleoyl-GPE (16:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	19263	LC/MS Pos Late	1526
1957	1-palmitoyl-2-oleoyl-GPI (16:0/18:1)*	Lipid	Phosphatidylinositol (PI)	52669	LC/MS Pos Late	100009066
1739	1-palmitoyl-2-palmitoleoyl-GPC (16:0/16:1)*	Lipid	Phosphatidylcholine (PC)	52470	LC/MS Pos Late	100008984
1740	1-palmitoyl-2-stearoyl-GPC (16:0/18:0)	Lipid	Phosphatidylcholine (PC)	52616	LC/MS Pos Late	100008921
1857	1-palmitoyl-2-stearoyl-GPE (16:0/18:0)*	Lipid	Phosphatidylethanolamine (PE)	57388	LC/MS Pos Late	100009205
1999	1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	34428	LC/MS Neg	100001445
2012	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	33955	LC/MS Pos Late	100001263
2060	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	35631	LC/MS Pos Late	100001567
2098	1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	45970	LC/MS Neg	100005717
2105	1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid	35305	LC/MS Neg	100001655
84	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	61868	LC/MS Pos Early	100001668
1788	1-stearoyl-2-arachidonoyl-GPC (18:0/20:4)	Lipid	Phosphatidylcholine (PC)	42450	LC/MS Pos Late	100001869
1879	1-stearoyl-2-arachidonoyl-GPE (18:0/20:4)	Lipid	Phosphatidylethanolamine (PE)	52447	LC/MS Pos Late	100008977
1976	1-stearoyl-2-arachidonoyl-GPI (18:0/20:4)	Lipid	Phosphatidylinositol (PI)	52449	LC/MS Pos Late	100000616
1794	1-stearoyl-2-docosahexaenoyl-GPC (18:0/22:6)	Lipid	Phosphatidylcholine (PC)	52611	LC/MS Pos Late	100008916
1883	1-stearoyl-2-docosahexaenoyl-GPE (18:0/22:6)*	Lipid	Phosphatidylethanolamine (PE)	52466	LC/MS Pos Late	100008992
1780	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	52452	LC/MS Pos Late	100008980
1874	1-stearoyl-2-linoleoyl-GPE (18:0/18:2)*	Lipid	Phosphatidylethanolamine (PE)	52446	LC/MS Pos Late	100008976
1965	1-stearoyl-2-linoleoyl-GPI (18:0/18:2)	Lipid	Phosphatidylinositol (PI)	52468	LC/MS Pos Late	100008994
1777	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	52438	LC/MS Pos Late	100008904
1871	1-stearoyl-2-oleoyl-GPE (18:0/18:1)	Lipid	Phosphatidylethanolamine (PE)	42448	LC/MS Pos Late	100001856
1964	1-stearoyl-2-oleoyl-GPI (18:0/18:1)*	Lipid	Phosphatidylinositol (PI)	52726	LC/MS Pos Late	100009181
1930	1-stearoyl-2-oleoyl-GPS (18:0/18:1)	Lipid	Phosphatidylserine (PS)	19265	LC/MS Pos Late	100000639
2020	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	33961	LC/MS Pos Late	100001271
2067	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	42398	LC/MS Pos Late	100001461
2100	1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	34437	LC/MS Neg	100001462
2108	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	19324	LC/MS Neg	100000656
2092	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	45966	LC/MS Neg	100004327
317	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	57547	LC/MS Neg	100010869
3811	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417
2558	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	46115	LC/MS Neg	100001999
2555	21-hydroxypregnenolone monosulfate (1)	Lipid	Pregnenolone Steroids	37174	LC/MS Neg	100002003
102	2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Polar	381
432	2-aminobutyrate	Amino Acid	Glutathione Metabolism	42374	LC/MS Pos Early	1128
1356	2-aminoheptanoate	Lipid	Fatty Acid, Amino	43761	LC/MS Pos Early	100004542
1361	2-aminooctanoate	Lipid	Fatty Acid, Amino	43343	LC/MS Pos Late	100004227
4644	2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322
3428	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	1412	LC/MS Neg	536
312	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	36746	LC/MS Neg	100001541
4244	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	33173	LC/MS Neg	100001791
1538	2-hydroxyarachidate*	Lipid	Fatty Acid, Monohydroxy	61700	LC/MS Neg	100019892
1490	2-hydroxybehenate	Lipid	Fatty Acid, Monohydroxy	57663	LC/MS Neg	100015637
434	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	52281	LC/MS Polar	100008928
1482	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	42489	LC/MS Neg	100004089
1292	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	37253	LC/MS Pos Early	100002070
3612	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Neg	1869
4258	2-hydroxyibuprofen	Xenobiotics	Drug - Analgesics, Anesthetics	43330	LC/MS Neg	100004169
1535	2-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	52916	LC/MS Neg	100008934
1485	2-hydroxynervonate*	Lipid	Fatty Acid, Monohydroxy	61698	LC/MS Neg	100015638
1481	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22036	LC/MS Neg	100000743
1487	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	35675	LC/MS Neg	100001579
179	2-hydroxyphenylacetate	Amino Acid	Tyrosine Metabolism	1432	LC/MS Polar	235
1488	2-hydroxyphytanate*	Lipid	Fatty Acid, Monohydroxy	61702	LC/MS Neg	100004414
1489	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	17945	LC/MS Neg	1239
4246	2-methoxyacetaminophen glucuronide*	Xenobiotics	Drug - Analgesics, Anesthetics	33161	LC/MS Neg	100001795
4245	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	47031	LC/MS Neg	100001793
294	2-methylbutyrylcarnitine (C5)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	45095	LC/MS Pos Early	100001509
15	2-methylserine	Amino Acid	Glycine, Serine and Threonine Metabolism	53229	LC/MS Pos Early	100009246
2264	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943
3453	2'-O-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	57554	LC/MS Pos Early	100010895
3416	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	57655	LC/MS Neg	100010896
3819	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Neg	100003109
364	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	55072	LC/MS Pos Early	100002784
2015	2-palmitoleoyl-GPC (16:1)*	Lipid	Lysophospholipid	47118	LC/MS Neg	100001561
2013	2-palmitoyl-GPC (16:0)*	Lipid	Lysophospholipid	35253	LC/MS Neg	100001562
3727	2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos Early	100004295
2068	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	41220	LC/MS Neg	100003901
3691	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	35635	LC/MS Neg	100001624
3688	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	45415	LC/MS Neg	100005391
144	3-(4-hydroxyphenyl)lactate	Amino Acid	Tyrosine Metabolism	32197	LC/MS Neg	240
4247	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug - Analgesics, Anesthetics	34365	LC/MS Pos Early	100001797
4241	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug - Analgesics, Anesthetics	45721	LC/MS Neg	2048
4135	3,4-methyleneheptanoate	Xenobiotics	Food Component/Plant	53026	LC/MS Neg	100006651
3703	3,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398
4642	3-acetylphenol sulfate	Xenobiotics	Chemical	48693	LC/MS Neg	100004326
3466	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	1566	LC/MS Pos Early	1114
2516	3beta-hydroxy-5-cholestenoate	Lipid	Sterol	54805	LC/MS Neg	100006370
2748	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182
1324	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**	Lipid	Fatty Acid, Dicarboxylate	61871	LC/MS Neg	100020004
1323	3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF)	Lipid	Fatty Acid, Dicarboxylate	31787	LC/MS Neg	100001178
299	3-hydroxy-2-ethylpropionate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	32397	LC/MS Neg	100001170
2488	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112
1297	3-hydroxyadipate*	Lipid	Fatty Acid, Dicarboxylate	62069	LC/MS Polar	100004396
1463	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254
1399	3-hydroxybutyroylglycine**	Lipid	Fatty Acid Metabolism(Acyl Glycine)	62064	LC/MS Polar	100020211
1403	3-hydroxybutyrylcarnitine (1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	43264	LC/MS Pos Early	100003926
1404	3-hydroxybutyrylcarnitine (2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	52984	LC/MS Pos Early	100009271
1497	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	22053	LC/MS Neg	100000997
1495	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	53230	LC/MS Neg	100006367
3613	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122
316	3-hydroxyisobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	1549	LC/MS Polar	111
1500	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	32457	LC/MS Neg	100001112
1502	3-hydroxymyristate	Lipid	Fatty Acid, Monohydroxy	21158	LC/MS Neg	100000882
1496	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22001	LC/MS Neg	100000773
1498	3-hydroxyoleate*	Lipid	Fatty Acid, Monohydroxy	61843	LC/MS Neg	100019966
4748	3-hydroxypyridine sulfate	Xenobiotics	Chemical	48448	LC/MS Neg	100006098
1499	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	31943	LC/MS Neg	100001145
4054	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	62062	LC/MS Pos Early	100020203
1531	3-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	52938	LC/MS Neg	100008933
250	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467
3668	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375
162	3-methoxytyrosine	Amino Acid	Tyrosine Metabolism	12017	LC/MS Pos Early	1342
3642	3-methyl catechol sulfate (1)	Xenobiotics	Benzoate Metabolism	46165	LC/MS Neg	100004112
311	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	44526	LC/MS Neg	100000936
291	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15676	LC/MS Neg	100000036
3444	3-methylcytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	35132	LC/MS Pos Early	100001466
275	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	57747	LC/MS Polar	100002458
279	3-methylglutarylcarnitine (2)	Amino Acid	Leucine, Isoleucine and Valine Metabolism	46548	LC/MS Pos Early	100005850
67	3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Neg	100000042
3706	3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Neg	100001108
3693	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	15749	LC/MS Neg	100000010
926	3-phosphoglycerate	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1414	LC/MS Pos Early	132
3431	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	3155	LC/MS Pos Early	1053
415	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos Early	1113
4240	4-acetamidophenol	Xenobiotics	Drug - Analgesics, Anesthetics	12032	LC/MS Neg	1383
4243	4-acetamidophenylglucuronide	Xenobiotics	Drug - Analgesics, Anesthetics	15736	LC/MS Neg	100000043
4242	4-acetaminophen sulfate	Xenobiotics	Drug - Analgesics, Anesthetics	37475	LC/MS Neg	2049
4572	4-acetylphenol sulfate	Xenobiotics	Drug - Other	44620	LC/MS Neg	100000711
4076	4-allylphenol sulfate	Xenobiotics	Food Component/Plant	37181	LC/MS Neg	100001868
2526	4-cholesten-3-one	Lipid	Sterol	38125	LC/MS Pos Late	100002227
3655	4-ethylphenylsulfate	Xenobiotics	Benzoate Metabolism	36099	LC/MS Neg	100001756
419	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096
1293	4-hydroxy-2-oxoglutaric acid	Lipid	Fatty Acid, Dicarboxylate	40062	LC/MS Polar	100002537
4741	4-hydroxychlorothalonil	Xenobiotics	Chemical	48441	LC/MS Neg	100006082
4409	4-hydroxycoumarin	Xenobiotics	Drug - Cardiovascular	37445	LC/MS Neg	100002049
47	4-hydroxyglutamate	Amino Acid	Glutamate Metabolism	40499	LC/MS Pos Early	100002544
3614	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423
883	4-hydroxyphenylacetylglutamine	Peptide	Acetylated Peptides	55017	LC/MS Neg	100010850
141	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	1669	LC/MS Neg	1141
85	4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Pos Early	100001207
151	4-methoxyphenol sulfate	Amino Acid	Tyrosine Metabolism	48457	LC/MS Neg	100006262
257	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	22116	LC/MS Neg	100000551
3644	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46146	LC/MS Neg	100004111
3640	4-methylguaiacol sulfate	Xenobiotics	Benzoate Metabolism	48418	LC/MS Neg	100006105
4104	4-vinylguaiacol sulfate	Xenobiotics	Food Component/Plant	48442	LC/MS Neg	100006126
3656	4-vinylphenol sulfate	Xenobiotics	Benzoate Metabolism	36098	LC/MS Neg	100001755
100	5-(galactosylhydroxy)-L-lysine	Amino Acid	Lysine Metabolism	43582	LC/MS Pos Early	100002462
3464	5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing	1418	LC/MS Neg	158
3424	5,6-dihydrouracil	Nucleotide	Pyrimidine Metabolism, Uracil containing	1559	LC/MS Neg	1125
3415	5,6-dihydrouridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	61833	LC/MS Neg	100001425
3708	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34424	LC/MS Polar	100001403
3709	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34401	LC/MS Polar	100001402
2637	5alpha-androstan-3alpha,17alpha-diol monosulfate	Lipid	Androgenic Steroids	37183	LC/MS Neg	100002008
2658	5alpha-androstan-3alpha,17beta-diol disulfate	Lipid	Androgenic Steroids	37184	LC/MS Neg	100002017
2656	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Lipid	Androgenic Steroids	37186	LC/MS Neg	100002018
2657	5alpha-androstan-3alpha,17beta-diol monosulfate (2)	Lipid	Androgenic Steroids	37185	LC/MS Neg	100006005
2667	5alpha-androstan-3beta,17alpha-diol disulfate	Lipid	Androgenic Steroids	37187	LC/MS Neg	100002021
2664	5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Androgenic Steroids	37190	LC/MS Neg	100001987
2663	5alpha-androstan-3beta,17beta-diol monosulfate (2)	Lipid	Androgenic Steroids	37192	LC/MS Neg	100002024
