# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
ARO-PWY: chorismate biosynthesis I	14	134	2489	1349	1497	2502	2747	4068	2433	2259	2590	3981	2527	2461	3236	2319	5020	4739	3300	3057	3002	1683	5079	2464	1444	3240	4793	13	3101	5162	3694	1570	1505	1371	1700	3265	2405	904	2356	1833	346	353	4125	5572	4247	4846	1789	0
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	7	0	1675	1311	1268	2258	1081	2423	2777	1998	2169	3021	1517	2818	2480	2108	4878	2161	2430	2396	2459	1261	2589	2508	1097	2222	4956	44	2901	2261	2784	3343	1789	1042	1970	3073	1973	1010	1213	2344	129	325	2462	5954	4760	5208	31	0
AST-PWY: L-arginine degradation II (AST pathway)	0	0	2	0	49	19	5	0	0	0	14	6	0	3	5	0	1658	4	7	10	0	31	0	13	0	227	62	0	0	0	3	0	0	3	0	0	0	0	0	0	0	0	0	1621	1189	1431	1300	0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0	0	513	606	398	1285	203	1041	913	943	755	1071	102	790	1688	506	3603	1521	1635	989	1688	450	1697	1162	295	1676	1926	6	1127	1731	1849	143	259	546	21	1432	659	509	292	113	0	123	1043	3869	3051	3505	1662	0
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched amino acid biosynthesis	22	215	4128	930	876	2922	4132	5231	745	735	2536	2800	684	1017	1370	1910	4315	5361	3784	3082	4418	2044	4912	1726	366	4718	2663	81	2209	6688	2475	432	1324	979	746	2866	2772	369	3121	1468	291	260	3525	5135	4150	4380	1903	0
CALVIN-PWY: Calvin-Benson-Bassham cycle	8	158	3660	2726	2671	4007	3903	4543	5173	4830	3588	6981	4423	5882	5853	5511	5775	5296	4586	4493	4041	1356	5752	5517	2778	4048	10452	59	5494	6322	7145	4903	3801	2839	4652	6935	3956	2704	2971	5233	729	661	6917	6641	5268	5946	0	0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	23	161	0	0	0	0	0	0	13	0	0	16	8	0	0	0	22	0	0	0	0	0	0	9	0	0	0	0	0	0	8	12	0	4	0	0	9	15	3	0	0	0	0	38	25	30	0	0
CENTFERM-PWY: pyruvate fermentation to butanoate	0	0	335	210	343	254	179	347	571	699	376	831	393	451	657	353	145	625	463	679	571	173	646	467	297	278	1441	0	518	640	605	341	419	352	604	772	544	408	309	651	34	56	953	147	120	104	0	0
CITRULBIO-PWY: L-citrulline biosynthesis	18	137	376	247	292	579	15	146	654	383	244	818	202	880	246	235	332	1213	726	505	873	27	107	624	234	673	1037	5	220	209	871	915	420	478	222	664	532	323	108	742	233	94	757	458	323	333	0	0
COA-PWY-1: coenzyme A biosynthesis II (mammalian)	23	152	3137	2653	2566	4192	2403	3948	5109	4310	3569	5905	3365	4402	5381	6379	4683	4749	4460	3534	4456	1855	4961	4031	3219	3869	8050	81	4699	5965	5166	4421	3168	1966	4670	4573	2971	1932	2609	4720	763	500	5805	5446	3994	4568	1582	0
COA-PWY: coenzyme A biosynthesis I	19	110	1958	1348	2013	1837	1500	2449	2963	2720	2159	4381	2528	3935	3493	5020	3854	4194	2468	2227	1723	815	3739	3505	1489	2168	7435	43	2426	3486	4546	1999	2497	1727	3829	3980	2633	1677	1640	4345	396	315	5003	4219	3004	3527	10	0
COBALSYN-PWY: adenosylcobalamin salvage from cobinamide I	0	0	540	341	323	914	674	917	1606	1030	944	1378	897	1480	1255	274	1804	1363	1228	699	852	194	1816	1474	447	1299	2484	0	742	1606	2342	343	966	678	414	2466	936	705	472	817	0	49	1178	1991	1555	1791	0	0
CODH-PWY: reductive acetyl coenzyme A pathway	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1165	0
COLANSYN-PWY: colanic acid building blocks biosynthesis	0	0	465	483	460	698	726	927	599	1187	556	1731	1330	360	1548	368	3641	664	955	1273	670	273	1073	500	394	1281	1449	0	1232	1281	1405	467	485	471	639	818	556	522	751	239	23	101	549	3790	2915	3370	0	0
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	15	135	2549	1363	1394	2603	2760	4114	2386	2041	2575	3741	2333	1974	3011	2237	5028	4733	3243	2957	3069	1640	4950	2138	1472	3362	4401	15	2911	5189	3305	1626	1443	1234	1601	2906	2434	826	2280	1564	322	343	3697	5551	4262	4814	1925	0
CRNFORCAT-PWY: creatinine degradation I	0	0	0	0	0	0	13	60	10	11	0	20	0	0	21	0	0	61	25	42	0	0	42	0	0	26	8	0	4	14	7	0	0	0	0	11	0	6	9	12	0	0	0	0	0	0	0	0
DAPLYSINESYN-PWY: L-lysine biosynthesis I	14	141	507	377	599	290	314	334	579	452	277	1005	440	844	489	1030	3492	858	680	930	871	208	310	1228	197	1109	1449	43	675	1233	1208	138	725	380	618	1034	1495	239	210	582	55	116	556	3698	2956	3260	1625	0
DENITRIFICATION-PWY: nitrate reduction I (denitrification)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0	0	1587	1649	1926	2352	1976	2272	2289	2144	1889	3307	1550	2346	2718	2881	3649	1771	2741	2187	2772	688	2514	3406	1035	2217	3743	27	2696	2996	4907	1423	1915	1254	1902	2894	2648	1077	976	2026	449	428	2583	3503	2829	3128	1525	0
DHGLUCONATE-PYR-CAT-PWY: glucose degradation (oxidative)	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DTDPRHAMSYN-PWY: dTDP-L-rhamnose biosynthesis I	0	0	3241	2876	783	4555	2916	3998	4322	2772	3084	4392	3094	1698	4039	869	2828	3584	4437	4406	5546	3727	4511	1507	2370	4663	5985	68	4270	6399	3484	3204	2570	1384	1382	2186	2974	1598	2923	2299	145	579	2644	3373	2548	3005	0	0
ECASYN-PWY: enterobacterial common antigen biosynthesis	0	0	9	0	49	29	14	0	8	0	29	19	9	13	21	9	2852	14	9	41	0	80	0	27	0	424	123	0	0	0	4	0	0	13	0	0	8	0	0	0	0	0	0	3287	2391	2873	0	0
ENTBACSYN-PWY: enterobactin biosynthesis	0	0	24	0	200	110	75	0	0	0	104	55	0	43	30	47	3809	74	59	47	0	136	0	158	0	702	385	0	132	34	51	0	146	0	0	54	0	0	0	0	0	0	69	3722	2923	3396	194	0
FAO-PWY: fatty acid &beta;-oxidation I	43	214	188	98	226	149	78	367	185	269	141	360	148	199	276	207	3657	642	183	231	162	142	238	262	112	765	1010	22	221	219	295	111	233	162	255	549	641	199	68	595	0	32	373	4013	3068	3521	1892	0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	26	204	1031	765	825	1273	946	1339	2110	1924	848	2837	2178	1626	2796	1138	5989	2353	1917	2257	1855	432	2182	1522	863	2001	3735	24	1908	2095	2722	158	1273	1068	1401	1591	1285	925	724	851	0	190	1514	6521	4916	5607	1908	0
FASYN-INITIAL-PWY: superpathway of fatty acid biosynthesis initiation (E. coli)	22	114	1968	1957	950	3685	983	3003	2760	1523	2457	3069	1139	1497	2109	965	3588	2439	3256	2952	4836	2384	3624	1332	982	4045	4092	22	2354	5068	3132	468	1231	1132	1290	1403	1586	548	1082	630	108	466	2132	3872	3084	3319	1786	0
FERMENTATION-PWY: mixed acid fermentation	0	0	217	116	194	219	421	815	352	274	406	533	157	300	299	394	2128	524	382	262	275	122	174	343	237	1055	603	0	203	1276	381	22	714	156	308	484	1289	168	319	209	25	31	218	2711	2179	2204	0	0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0	0	394	144	589	291	237	263	205	795	275	1107	533	798	744	839	2534	420	572	742	354	200	559	1373	432	885	1835	0	660	725	985	0	515	437	775	1251	634	442	184	601	0	55	790	2982	2330	2538	1361	0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0	0	246	82	226	400	54	261	25	81	169	427	36	41	200	35	3184	608	524	333	174	293	324	54	25	1266	462	0	167	212	295	58	28	138	0	171	228	0	189	83	0	22	695	3434	2733	3026	0	0
FUCCAT-PWY: fucose degradation	0	0	156	45	170	193	31	140	12	70	81	308	38	26	162	17	2870	1069	291	227	81	161	160	94	60	964	479	0	98	98	218	36	121	101	13	292	183	0	120	207	0	12	795	3149	2509	2749	0	0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0	0	349	74	123	274	551	1783	139	88	471	397	83	77	137	56	3300	998	571	554	590	340	1223	198	49	1196	555	0	394	1418	344	206	201	113	101	821	331	36	602	253	0	46	677	3636	2932	3146	0	0
GALACTARDEG-PWY: D-galactarate degradation I	0	0	50	20	126	92	56	277	9	41	78	90	24	21	42	23	4207	136	81	95	108	364	130	86	7	404	177	0	53	171	44	36	44	23	5	69	45	23	103	24	24	0	289	4750	3595	4159	0	0
GALACTUROCAT-PWY: D-galacturonate degradation I	0	0	609	84	110	412	791	1667	139	106	1032	584	97	92	252	196	3049	1234	890	680	1077	669	1878	189	72	1547	690	5	465	2369	370	254	200	173	94	818	404	41	870	240	0	56	1124	3580	2724	3064	0	0
GALLATE-DEGRADATION-II-PWY: gallate degradation I	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	32	42	0	0
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0	0	277	214	486	417	324	1035	744	182	644	948	108	796	166	1289	3837	455	402	195	97	679	309	673	291	1285	1706	0	321	193	293	517	158	272	1204	365	465	61	405	752	224	48	1248	4013	3023	3341	0	0
GLUCARDEG-PWY: D-glucarate degradation I	0	0	16	22	89	53	17	227	9	37	104	13	8	18	44	15	3550	215	24	95	33	386	71	37	0	459	166	0	20	119	61	23	48	17	5	69	23	16	11	0	11	0	159	4037	3166	3509	0	0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0	0	50	20	126	92	56	277	9	41	78	90	24	21	42	23	4207	136	81	95	108	364	130	86	7	404	177	0	53	171	44	36	44	23	5	69	45	23	103	24	24	0	289	4750	3595	4159	0	0
GLUCONEO-PWY: gluconeogenesis I	0	0	1761	855	1498	1826	1654	1473	2478	2714	853	3860	2352	2960	3263	1077	4167	2241	1938	2743	1306	465	2354	2900	1199	1980	5642	16	2935	2128	4629	1284	1674	1717	1561	3730	1924	1573	1482	2713	153	280	2880	4829	3697	4295	0	0
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0	0	5	0	338	206	38	36	27	36	74	63	65	68	123	140	4030	77	87	166	0	401	82	367	18	1125	397	0	0	60	93	0	45	15	7	172	36	0	0	0	5	38	0	4673	3432	4023	0	0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronide and D-glucuronate degradation	0	0	244	56	105	190	399	1502	140	76	353	301	79	60	100	39	3433	867	428	437	429	255	1014	202	49	972	479	0	320	1114	297	275	166	86	77	924	284	43	471	234	0	39	533	3633	3027	3174	0	0
GLUDEG-I-PWY: GABA shunt	0	0	14	0	116	43	51	224	7	16	43	101	27	44	15	78	827	70	69	129	41	30	205	59	0	265	238	0	8	190	66	40	67	38	60	37	258	9	7	35	0	9	32	1102	855	982	0	0
GLUDEG-II-PWY: L-glutamate degradation VII (to butanoate)	0	0	358	342	376	371	0	0	887	1205	8	1429	563	471	896	235	58	84	792	758	148	27	16	242	429	0	1316	0	734	0	1070	69	608	609	579	479	449	288	5	145	0	77	563	93	89	86	0	0
GLUTORN-PWY: L-ornithine biosynthesis	21	147	2146	359	496	1663	2312	3331	262	346	1646	1270	288	424	597	911	3625	2435	1823	1468	2498	1080	2154	800	116	2453	1302	43	947	3190	1144	305	503	441	307	1322	1277	150	1746	534	83	126	1151	4373	3416	3720	1444	0
GLYCOCAT-PWY: glycogen degradation I (bacterial)	0	0	10	0	191	73	83	951	20	0	53	55	10	75	66	0	3068	37	35	56	40	133	51	56	0	588	154	0	30	61	0	0	0	10	0	24	30	0	33	19	11	35	23	3219	2483	2895	0	0
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0	2	810	471	1058	788	623	1129	746	1178	577	1765	1093	1467	1238	1352	3476	1311	1239	1202	1174	856	1197	1631	739	1275	3094	70	1012	2130	1774	618	1298	785	1298	2774	2209	697	940	2172	288	90	1633	3600	2911	3190	1526	0
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0	0	105	10	126	68	16	118	4	6	150	49	21	39	145	37	2107	247	70	77	119	155	45	25	0	837	256	12	196	28	132	0	11	17	2	65	169	5	63	38	0	0	321	2470	1835	2145	0	0
GLYCOLYSIS-E-D: superpathway of glycolysis and Entner-Doudoroff	0	0	382	131	265	360	313	843	436	214	567	590	149	41	413	91	3229	486	741	524	615	217	837	310	0	912	842	0	471	192	261	19	426	198	0	486	639	130	476	445	15	48	606	3402	2672	3070	0	0
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0	0	360	43	751	185	44	260	80	484	186	145	195	467	484	162	3660	106	178	294	251	122	26	645	58	900	1263	28	419	31	621	0	578	83	11	1090	1000	170	113	577	117	67	583	3857	2910	3406	0	0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0	0	3837	3205	2668	5647	2451	3789	6052	4892	4288	6601	3817	5807	5741	5399	4996	5011	5371	3967	5531	2425	5293	5416	3033	4959	11136	64	5467	6923	7210	4054	4213	2664	4642	7132	4355	2911	2410	5753	817	672	6610	5652	4286	5035	0	0
GLYOXYLATE-BYPASS: glyoxylate cycle	18	107	108	10	301	67	37	129	21	174	140	34	73	160	222	39	3058	318	69	80	114	104	30	192	14	766	425	19	218	13	188	0	181	20	3	585	370	76	85	232	37	19	349	3556	2841	3071	1417	0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0	0	234	40	81	314	186	682	17	91	414	301	84	57	152	91	2700	629	432	175	212	171	654	26	39	419	335	1	123	638	88	43	37	95	29	181	120	51	282	167	0	16	691	2698	2315	2648	0	0
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	0	0	0	0	0	0	0	0	5	0	5	2	0	2	3	0	1973	5	0	0	0	27	0	48	0	135	11	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2128	1575	1800	0	0
HEME-BIOSYNTHESIS-II: heme biosynthesis I (aerobic)	21	145	231	297	208	137	162	45	851	462	104	433	465	499	493	203	127	141	335	320	265	98	105	452	122	466	1016	20	663	103	863	204	506	144	278	445	781	164	78	255	62	78	224	183	96	81	1665	0
HEMESYN2-PWY: heme biosynthesis II (anaerobic)	19	126	255	305	391	141	194	54	910	551	122	723	716	669	605	853	2887	178	401	403	271	78	120	1622	131	452	1254	18	724	118	1708	207	601	173	375	1587	1141	452	159	664	160	81	352	2993	2243	2712	1517	0
HEXITOLDEGSUPER-PWY: superpathway of hexitol degradation (bacteria)	0	0	414	192	1436	832	379	1467	795	60	900	2295	415	1110	387	1921	4272	940	891	592	675	288	1839	1265	867	1525	1395	11	562	1589	309	302	320	345	52	1674	543	174	650	1067	203	69	3085	3906	2953	3495	0	0
HISDEG-PWY: L-histidine degradation I	18	96	1425	2677	1840	3489	666	533	6565	4922	2104	4593	5028	6318	5541	1805	2412	1010	2903	2880	2996	1408	1959	5608	3067	1470	11190	39	4823	1730	8762	4201	3384	2675	3464	5944	3314	3513	302	4226	238	527	4035	2729	2128	2341	1188	0
HISTSYN-PWY: L-histidine biosynthesis	15	151	1851	468	536	2448	1436	3441	204	296	2359	1555	361	345	799	811	2699	3529	2406	1584	3151	1360	3830	537	134	3051	1205	54	1149	4429	1209	150	606	520	291	1433	1814	200	1871	717	158	132	2008	3119	2523	2790	1188	0
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	586	91	471	451	1021	759	363	308	536	595	247	742	357	737	1929	1938	729	668	708	383	1479	557	197	1352	1173	25	487	1750	564	246	522	285	470	1045	1224	210	833	550	179	76	828	2197	1955	2053	1769	0
HSERMETANA-PWY: L-methionine biosynthesis III	44	245	601	130	514	540	1084	771	459	614	454	1148	480	1400	700	1041	371	2027	786	1121	714	257	1492	1144	398	907	1642	55	840	1768	1203	153	835	587	638	1498	1534	338	866	1149	193	91	1060	453	407	456	8	0
ILEUDEG-PWY: L-isoleucine degradation I	25	173	0	16	0	0	0	0	19	8	0	0	11	56	12	0	0	47	0	7	0	0	0	10	0	0	230	0	0	0	11	0	0	0	0	44	88	41	0	0	0	12	15	0	0	0	20	0
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	29	290	4176	948	918	4582	4382	5679	785	743	3605	2759	653	1047	1374	2029	5549	5855	3893	3085	4734	2252	6253	1995	452	5380	2658	107	2161	7668	2410	514	1363	1033	788	3052	2839	420	3299	1478	288	271	3860	5897	4756	5183	2126	0
KDO-NAGLIPASYN-PWY: superpathway of (Kdo)2-lipid A biosynthesis	0	0	0	0	52	13	28	0	0	0	43	7	0	0	8	0	1098	0	2	2	0	0	0	24	0	162	62	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	1579	878	1331	0	0
KETOGLUCONMET-PWY: ketogluconate metabolism	0	0	8	5	128	57	6	23	3	12	51	28	34	12	27	18	1621	22	50	30	11	75	20	37	12	312	42	0	44	36	10	15	13	12	10	53	44	11	4	33	0	4	35	2042	1717	1817	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	0	369	199	470	373	248	564	883	500	642	1474	359	1692	564	3528	2841	977	670	430	323	122	1071	1454	788	698	2808	4	687	1065	827	609	718	362	3170	1796	714	473	768	2110	804	92	3322	1815	1480	1890	0	0
LEU-DEG2-PWY: L-leucine degradation I	0	23	0	0	0	0	0	0	0	0	3	17	0	0	13	0	0	37	7	6	0	0	4	8	0	0	34	0	0	0	0	0	0	0	0	6	0	10	0	0	0	0	0	0	0	0	0	0
LIPASYN-PWY: phospholipases	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	50	86	0	0
LPSSYN-PWY: superpathway of lipopolysaccharide biosynthesis	0	0	0	0	24	12	11	0	0	0	0	0	0	0	13	0	117	0	0	5	0	0	0	38	0	89	53	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	206	129	116	0	0
LYSINE-AMINOAD-PWY: L-lysine biosynthesis IV	0	0	0	0	0	9	0	22	0	4	11	30	0	0	0	0	0	10	0	16	0	0	17	0	0	8	28	0	12	0	0	0	0	0	0	36	0	0	0	13	0	0	0	0	0	0	0	0
LYSINE-DEG1-PWY: L-lysine degradation XI (mammalian)	0	0	24	0	17	11	0	0	0	0	3	111	37	19	144	0	0	0	10	36	0	0	0	0	9	31	0	0	0	0	103	0	39	2	0	78	0	0	0	0	0	0	0	0	0	0	0	0
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	1061	200	822	741	1568	1276	718	573	882	1124	516	1162	698	1188	3027	2878	1319	1155	1171	608	2064	958	347	2102	2240	34	910	2604	970	509	930	477	913	1929	1848	419	1377	917	251	146	1444	3424	2915	3108	1843	0
METHANOGENESIS-PWY: methanogenesis from H2 and CO2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0
