PATHWAY SORTORDER	BIOCHEMICAL	SUPER PATHWAY	SUB PATHWAY	COMP ID	PLATFORM	CHEMICAL ID
418	1-methylguanidine	Amino Acid	Guanidino and Acetamido Metabolism	48114	LC/MS Pos Early	100000715
66	1-methylhistidine	Amino Acid	Histidine Metabolism	30460	LC/MS Pos Early	100001051
3482	1-methylnicotinamide	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27665	LC/MS Pos Early	55
3694	1-methylurate	Xenobiotics	Xanthine Metabolism	34395	LC/MS Pos Early	100001400
3700	1-methylxanthine	Xenobiotics	Xanthine Metabolism	34389	LC/MS Neg	100001405
2240	1-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	35625	LC/MS Neg	100001618
2247	1-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21184	LC/MS Neg	100000924
2019	1-oleoyl-GPC (18:1)	Lipid	Lysophospholipid	48258	LC/MS Neg	100001272
2066	1-oleoyl-GPE (18:1)	Lipid	Lysophospholipid	35628	LC/MS Neg	100001569
2099	1-oleoyl-GPG (18:1)*	Lipid	Lysophospholipid	45968	LC/MS Neg	100005716
2107	1-oleoyl-GPI (18:1)*	Lipid	Lysophospholipid	36602	LC/MS Neg	100001777
2090	1-oleoyl-GPS (18:1)	Lipid	Lysophospholipid	19260	LC/MS Neg	100000630
2244	1-palmitoleoylglycerol (16:1)*	Lipid	Monoacylglycerol	52431	LC/MS Neg	100008952
1742	1-palmitoyl-2-linoleoyl-GPC (16:0/18:2)	Lipid	Phosphatidylcholine (PC)	42446	LC/MS Pos Late	1537
1739	1-palmitoyl-2-oleoyl-GPC (16:0/18:1)	Lipid	Phosphatidylcholine (PC)	52461	LC/MS Pos Late	1539
2243	1-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	21127	LC/MS Neg	100000827
1996	1-palmitoyl-GPA (16:0)	Lipid	Lysophospholipid	34428	LC/MS Neg	100001445
2009	1-palmitoyl-GPC (16:0)	Lipid	Lysophospholipid	33955	LC/MS Pos Late	100001263
2057	1-palmitoyl-GPE (16:0)	Lipid	Lysophospholipid	35631	LC/MS Neg	100001567
2095	1-palmitoyl-GPG (16:0)*	Lipid	Lysophospholipid	45970	LC/MS Neg	100005717
2102	1-palmitoyl-GPI (16:0)	Lipid	Lysophospholipid	35305	LC/MS Neg	100001655
2088	1-palmitoyl-GPS (16:0)*	Lipid	Lysophospholipid	46130	LC/MS Neg	100005805
2242	1-pentadecanoylglycerol (15:0)	Lipid	Monoacylglycerol	47898	LC/MS Neg	100001431
84	1-ribosyl-imidazoleacetate*	Amino Acid	Histidine Metabolism	61868	LC/MS Pos Early	100001668
1777	1-stearoyl-2-linoleoyl-GPC (18:0/18:2)*	Lipid	Phosphatidylcholine (PC)	52452	LC/MS Pos Late	100008980
1774	1-stearoyl-2-oleoyl-GPC (18:0/18:1)	Lipid	Phosphatidylcholine (PC)	52438	LC/MS Pos Late	100008904
1998	1-stearoyl-GPA (18:0)	Lipid	Lysophospholipid	36810	LC/MS Neg	100001670
2017	1-stearoyl-GPC (18:0)	Lipid	Lysophospholipid	33961	LC/MS Pos Late	100001271
2064	1-stearoyl-GPE (18:0)	Lipid	Lysophospholipid	42398	LC/MS Neg	100001461
2097	1-stearoyl-GPG (18:0)	Lipid	Lysophospholipid	34437	LC/MS Neg	100001462
2105	1-stearoyl-GPI (18:0)	Lipid	Lysophospholipid	19324	LC/MS Neg	100000656
2089	1-stearoyl-GPS (18:0)*	Lipid	Lysophospholipid	45966	LC/MS Neg	100004327
317	2,3-dihydroxy-2-methylbutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	57547	LC/MS Polar	100010869
3806	2,3-dihydroxyisovalerate	Xenobiotics	Food Component/Plant	38276	LC/MS Polar	100002417
306	2,3-dimethylsuccinate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	20703	LC/MS Polar	100000849
3627	2,4,6-trihydroxybenzoate	Xenobiotics	Benzoate Metabolism	35892	LC/MS Neg	100001718
3809	2,8-quinolinediol	Xenobiotics	Food Component/Plant	42975	LC/MS Pos Early	100004206
3810	2,8-quinolinediol sulfate	Xenobiotics	Food Component/Plant	48691	LC/MS Neg	100004321
2555	21-hydroxypregnenolone disulfate	Lipid	Pregnenolone Steroids	46115	LC/MS Neg	100001999
4204	2-acetamidobutanoate	Xenobiotics	Bacterial/Fungal	53232	LC/MS Polar	100009237
102	2-aminoadipate	Amino Acid	Lysine Metabolism	6146	LC/MS Polar	381
4639	2-aminophenol sulfate	Xenobiotics	Chemical	43266	LC/MS Neg	100004322
3361	2'-deoxyadenosine	Nucleotide	Purine Metabolism, Adenine containing	1553	LC/MS Pos Early	211
3447	2'-deoxycytidine	Nucleotide	Pyrimidine Metabolism, Cytidine containing	15949	LC/MS Pos Early	100000125
3390	2'-deoxyguanosine	Nucleotide	Purine Metabolism, Guanine containing	1411	LC/MS Neg	348
3323	2'-deoxyinosine	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	15076	LC/MS Neg	100000135
3423	2'-deoxyuridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	52602	LC/MS Neg	536
4555	2-dimethylaminoethanol	Xenobiotics	Drug - Topical Agents	42562	LC/MS Pos Early	100001630
312	2-hydroxy-3-methylvalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	36746	LC/MS Neg	100001541
4239	2-hydroxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	33173	LC/MS Neg	100001791
1296	2-hydroxyadipate	Lipid	Fatty Acid, Dicarboxylate	31934	LC/MS Polar	100001153
1535	2-hydroxyarachidate*	Lipid	Fatty Acid, Monohydroxy	61700	LC/MS Neg	100019892
1487	2-hydroxybehenate	Lipid	Fatty Acid, Monohydroxy	57663	LC/MS Neg	100015637
434	2-hydroxybutyrate/2-hydroxyisobutyrate	Amino Acid	Glutathione Metabolism	52281	LC/MS Polar	100008928
1479	2-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	42489	LC/MS Neg	100004089
1292	2-hydroxyglutarate	Lipid	Fatty Acid, Dicarboxylate	37253	LC/MS Polar	100002070
3607	2-hydroxyhippurate (salicylurate)	Xenobiotics	Benzoate Metabolism	18281	LC/MS Neg	1869
1481	2-hydroxymyristate	Lipid	Fatty Acid, Monohydroxy	32413	LC/MS Neg	100001180
1482	2-hydroxynervonate*	Lipid	Fatty Acid, Monohydroxy	61698	LC/MS Neg	100015638
1478	2-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22036	LC/MS Neg	100000743
1484	2-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	35675	LC/MS Neg	100001579
179	2-hydroxyphenylacetate	Amino Acid	Tyrosine Metabolism	1432	LC/MS Polar	235
1486	2-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	17945	LC/MS Neg	1239
3813	2-isopropylmalate	Xenobiotics	Food Component/Plant	15667	LC/MS Polar	100000409
2262	2-linoleoylglycerol (18:2)	Lipid	Monoacylglycerol	32506	LC/MS Neg	100000987
4240	2-methoxyacetaminophen sulfate*	Xenobiotics	Drug - Analgesics, Anesthetics	47031	LC/MS Neg	100001793
295	2-methylbutyrylglycine	Amino Acid	Leucine, Isoleucine and Valine Metabolism	31928	LC/MS Neg	100001155
1126	2-methylcitrate/homocitrate	Energy	TCA Cycle	52282	LC/MS Neg	100008929
2257	2-myristoylglycerol (14:0)	Lipid	Monoacylglycerol	34383	LC/MS Neg	100001408
2261	2-oleoylglycerol (18:1)	Lipid	Monoacylglycerol	21232	LC/MS Neg	100000943
3411	2'-O-methyluridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	57655	LC/MS Neg	100010896
3814	2-oxindole-3-acetate	Xenobiotics	Food Component/Plant	40479	LC/MS Neg	100003109
364	2-oxoarginine*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	55072	LC/MS Pos Early	100002784
2258	2-palmitoylglycerol (16:0)	Lipid	Monoacylglycerol	33419	LC/MS Neg	100001048
2010	2-palmitoyl-GPC (16:0)*	Lipid	Lysophospholipid	35253	LC/MS Neg	100001562
3722	2-piperidinone	Xenobiotics	Food Component/Plant	43400	LC/MS Pos Early	100004295
2065	2-stearoyl-GPE (18:0)*	Lipid	Lysophospholipid	41220	LC/MS Neg	100003901
3686	3-(3-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	35635	LC/MS Neg	100001624
3683	3-(3-hydroxyphenyl)propionate sulfate	Xenobiotics	Benzoate Metabolism	45415	LC/MS Neg	100005391
144	3-(4-hydroxyphenyl)lactate	Amino Acid	Tyrosine Metabolism	32197	LC/MS Neg	240
3687	3-(4-hydroxyphenyl)propionate	Xenobiotics	Benzoate Metabolism	39587	LC/MS Neg	100002914
4242	3-(cystein-S-yl)acetaminophen*	Xenobiotics	Drug - Analgesics, Anesthetics	34365	LC/MS Pos Early	100001797
4236	3-(N-acetyl-L-cystein-S-yl) acetaminophen	Xenobiotics	Drug - Analgesics, Anesthetics	45721	LC/MS Neg	2048
165	3,4-dihydroxyphenylacetate	Amino Acid	Tyrosine Metabolism	18296	LC/MS Neg	100000449
3698	3,7-dimethylurate	Xenobiotics	Xanthine Metabolism	34399	LC/MS Neg	100001398
3461	3-aminoisobutyrate	Nucleotide	Pyrimidine Metabolism, Thymine containing	1566	LC/MS Pos Early	1114
2743	3b-hydroxy-5-cholenoic acid	Lipid	Secondary Bile Acid Metabolism	43507	LC/MS Neg	100004182
1323	3-carboxy-4-methyl-5-pentyl-2-furanpropionate (3-Cmpfp)**	Lipid	Fatty Acid, Dicarboxylate	61871	LC/MS Neg	100020004
1295	3-carboxyadipate	Lipid	Fatty Acid, Dicarboxylate	54723	LC/MS Neg	100009325
2736	3-dehydrocholate	Lipid	Secondary Bile Acid Metabolism	43835	LC/MS Neg	100001062
3772	3-dehydroshikimate	Xenobiotics	Food Component/Plant	36764	LC/MS Polar	100001679
3501	3'-dephospho-acetyl-CoA	Cofactors and Vitamins	Pantothenate and CoA Metabolism	54675	LC/MS Neg	100010805
2485	3-hydroxy-3-methylglutarate	Lipid	Mevalonate Metabolism	531	LC/MS Polar	112
4131	3-hydroxy-3-methyl-hexanoate	Xenobiotics	Food Component/Plant	53162	LC/MS Neg	100006601
1297	3-hydroxyadipate*	Lipid	Fatty Acid, Dicarboxylate	62069	LC/MS Polar	100004396
3626	3-hydroxybenzoate	Xenobiotics	Benzoate Metabolism	15673	LC/MS Neg	100000013
1461	3-hydroxybutyrate (BHBA)	Lipid	Ketone Bodies	542	LC/MS Polar	254
1398	3-hydroxybutyroylglycine**	Lipid	Fatty Acid Metabolism(Acyl Glycine)	62064	LC/MS Neg	100020211
1401	3-hydroxybutyrylcarnitine (1)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	43264	LC/MS Pos Early	100003926
1402	3-hydroxybutyrylcarnitine (2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	52984	LC/MS Pos Early	100009271
1494	3-hydroxydecanoate	Lipid	Fatty Acid, Monohydroxy	22053	LC/MS Neg	100000997
1492	3-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	53230	LC/MS Neg	100006367
3608	3-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	39600	LC/MS Neg	100002122
1497	3-hydroxylaurate	Lipid	Fatty Acid, Monohydroxy	32457	LC/MS Neg	100001112
1493	3-hydroxyoctanoate	Lipid	Fatty Acid, Monohydroxy	22001	LC/MS Neg	100000773
1500	3-hydroxypalmitate	Lipid	Fatty Acid, Monohydroxy	27503	LC/MS Neg	100000983
1453	3-hydroxypalmitoylcarnitine	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	61839	LC/MS Pos Late	100019800
127	3-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	1413	LC/MS Polar	114
1490	3-hydroxypropanoate	Lipid	Fatty Acid, Monohydroxy	1556	LC/MS Polar	115
1496	3-hydroxysebacate	Lipid	Fatty Acid, Monohydroxy	31943	LC/MS Neg	100001145
4049	3-hydroxystachydrine*	Xenobiotics	Food Component/Plant	62062	LC/MS Pos Early	100020203
1528	3-hydroxystearate	Lipid	Fatty Acid, Monohydroxy	52938	LC/MS Neg	100008933
1491	3-hydroxysuberate	Lipid	Fatty Acid, Monohydroxy	31936	LC/MS Neg	100001143
250	3-indoxyl sulfate	Amino Acid	Tryptophan Metabolism	27672	LC/MS Neg	100000467
3663	3-methoxycatechol sulfate (1)	Xenobiotics	Benzoate Metabolism	48763	LC/MS Neg	100006375
311	3-methyl-2-oxobutyrate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	44526	LC/MS Neg	100000936
291	3-methyl-2-oxovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	15676	LC/MS Neg	100000036
1298	3-methyladipate	Lipid	Fatty Acid, Dicarboxylate	36749	LC/MS Polar	100001765
275	3-methylglutaconate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	57747	LC/MS Polar	100002458
1291	3-methylglutarate/2-methylglutarate	Lipid	Fatty Acid, Dicarboxylate	54676	LC/MS Polar	100010834
67	3-methylhistidine	Amino Acid	Histidine Metabolism	15677	LC/MS Pos Early	100000042
3701	3-methylxanthine	Xenobiotics	Xanthine Metabolism	32445	LC/MS Neg	100001108
3688	3-phenylpropionate (hydrocinnamate)	Xenobiotics	Benzoate Metabolism	15749	LC/MS Neg	100000010
926	3-phosphoglycerate	Carbohydrate	Glycolysis, Gluconeogenesis, and Pyruvate Metabolism	1414	LC/MS Neg	132
14	3-phosphoserine	Amino Acid	Glycine, Serine and Threonine Metabolism	543	LC/MS Pos Early	133
355	3-sulfo-L-alanine	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	47089	LC/MS Polar	382
3426	3-ureidopropionate	Nucleotide	Pyrimidine Metabolism, Uracil containing	3155	LC/MS Pos Early	1053
4756	4-acetamidobenzoate	Xenobiotics	Chemical	57585	LC/MS Neg	100009413
415	4-acetamidobutanoate	Amino Acid	Polyamine Metabolism	1558	LC/MS Pos Early	1113
4235	4-acetamidophenol	Xenobiotics	Drug - Analgesics, Anesthetics	12032	LC/MS Neg	1383
4237	4-acetaminophen sulfate	Xenobiotics	Drug - Analgesics, Anesthetics	37475	LC/MS Neg	2049
2523	4-cholesten-3-one	Lipid	Sterol	38125	LC/MS Pos Late	100002227
419	4-guanidinobutanoate	Amino Acid	Guanidino and Acetamido Metabolism	15681	LC/MS Pos Early	100000096
3625	4-hydroxybenzoate	Xenobiotics	Benzoate Metabolism	21133	LC/MS Neg	100000862
1475	4-hydroxybutyrate (GHB)	Lipid	Fatty Acid, Monohydroxy	34585	LC/MS Polar	100001507
4160	4-hydroxycinnamate	Xenobiotics	Food Component/Plant	36770	LC/MS Polar	100001675
3609	4-hydroxyhippurate	Xenobiotics	Benzoate Metabolism	35527	LC/MS Neg	100001423
126	4-hydroxyphenylacetate	Amino Acid	Phenylalanine Metabolism	541	LC/MS Neg	144
141	4-hydroxyphenylpyruvate	Amino Acid	Tyrosine Metabolism	1669	LC/MS Neg	1141
85	4-imidazoleacetate	Amino Acid	Histidine Metabolism	32349	LC/MS Pos Early	100001207
257	4-methyl-2-oxopentanoate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	22116	LC/MS Neg	100000551
3639	4-methylcatechol sulfate	Xenobiotics	Benzoate Metabolism	46146	LC/MS Neg	100004111
3424	4-ureidobutyrate	Nucleotide	Pyrimidine Metabolism, Uracil containing	22118	LC/MS Pos Early	100000718
3459	5,6-dihydrothymine	Nucleotide	Pyrimidine Metabolism, Thymine containing	1418	LC/MS Pos Early	158
3410	5,6-dihydrouridine	Nucleotide	Pyrimidine Metabolism, Uracil containing	61833	LC/MS Neg	100001425
3703	5-acetylamino-6-amino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34424	LC/MS Polar	100001403
3704	5-acetylamino-6-formylamino-3-methyluracil	Xenobiotics	Xanthine Metabolism	34401	LC/MS Polar	100001402
2633	5alpha-androstan-3alpha,17alpha-diol disulfate	Lipid	Androgenic Steroids	37182	LC/MS Neg	100002007
2653	5alpha-androstan-3alpha,17beta-diol disulfate	Lipid	Androgenic Steroids	37184	LC/MS Neg	100002017
2651	5alpha-androstan-3alpha,17beta-diol monosulfate (1)	Lipid	Androgenic Steroids	37186	LC/MS Neg	100002018
2659	5alpha-androstan-3beta,17beta-diol disulfate	Lipid	Androgenic Steroids	37190	LC/MS Neg	100001987
2657	5alpha-androstan-3beta,17beta-diol monosulfate (1)	Lipid	Androgenic Steroids	37191	LC/MS Neg	100002023
2578	5alpha-pregnan-3(alpha or beta),20beta-diol disulfate	Lipid	Progestin Steroids	46172	LC/MS Neg	100002015
2577	5alpha-pregnan-3beta,20alpha-diol disulfate	Lipid	Progestin Steroids	37198	LC/MS Neg	100001988
2571	5alpha-pregnan-3beta,20alpha-diol monosulfate (1)	Lipid	Progestin Steroids	37199	LC/MS Neg	100002013
114	5-aminovalerate	Amino Acid	Lysine Metabolism	18319	LC/MS Pos Early	100000454
1502	5-hydroxyhexanoate	Lipid	Fatty Acid, Monohydroxy	31938	LC/MS Neg	100001148
99	5-hydroxylysine	Amino Acid	Lysine Metabolism	15685	LC/MS Pos Early	100000054
410	5-methylthioadenosine (MTA)	Amino Acid	Polyamine Metabolism	1419	LC/MS Pos Early	212
329	5-methylthioribose**	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	62100	LC/MS Pos Early	100002103
3412	5-methyluridine (ribothymidine)	Nucleotide	Pyrimidine Metabolism, Uracil containing	35136	LC/MS Neg	100001446
431	5-oxoproline	Amino Acid	Glutathione Metabolism	1494	LC/MS Neg	1021
1354	6-aminocaproate	Lipid	Fatty Acid, Amino	20715	LC/MS Pos Early	100000860
3485	6-hydroxynicotinate	Cofactors and Vitamins	Nicotinate and Nicotinamide Metabolism	27680	LC/MS Polar	100000809
2727	6-oxolithocholate	Lipid	Secondary Bile Acid Metabolism	46336	LC/MS Neg	100001068
111	6-oxopiperidine-2-carboxylate	Amino Acid	Lysine Metabolism	43231	LC/MS Neg	100004499
2725	7,12-diketolithocholate	Lipid	Secondary Bile Acid Metabolism	31906	LC/MS Neg	100001070
2741	7-ketodeoxycholate	Lipid	Secondary Bile Acid Metabolism	31904	LC/MS Neg	100001063
2728	7-ketolithocholate	Lipid	Secondary Bile Acid Metabolism	43830	LC/MS Neg	100001069
3376	7-methylguanine	Nucleotide	Purine Metabolism, Guanine containing	35114	LC/MS Pos Early	100001456
3702	7-methylxanthine	Xenobiotics	Xanthine Metabolism	34390	LC/MS Pos Early	100001396
3386	8-hydroxyguanine	Nucleotide	Purine Metabolism, Guanine containing	38672	LC/MS Pos Early	100002744
1538	9,10-DiHOME	Lipid	Fatty Acid, Dihydroxy	38399	LC/MS Neg	179
4030	acesulfame	Xenobiotics	Food Component/Plant	48569	LC/MS Polar	100006203
1399	acetylcarnitine (C2)	Lipid	Fatty Acid Metabolism(Acyl Carnitine)	32198	LC/MS Pos Early	100000802
1135	acetyl CoA	Lipid	Fatty Acid Metabolism	43840	LC/MS Neg	1830
406	acisoga	Amino Acid	Polyamine Metabolism	43258	LC/MS Pos Early	100004541
1107	aconitate [cis or trans]	Energy	TCA Cycle	46173	LC/MS Neg	100001359
3341	adenine	Nucleotide	Purine Metabolism, Adenine containing	554	LC/MS Pos Early	880
3340	adenosine	Nucleotide	Purine Metabolism, Adenine containing	555	LC/MS Pos Early	798
1294	adipate (C6-DC)	Lipid	Fatty Acid, Dicarboxylate	21134	LC/MS Polar	100000863
398	agmatine	Amino Acid	Polyamine Metabolism	15496	LC/MS Pos Early	100000103
28	alanine	Amino Acid	Alanine and Aspartate Metabolism	1126	LC/MS Pos Early	811
472	alanylleucine	Peptide	Dipeptide	37093	LC/MS Pos Early	100001890
3327	allantoin	Nucleotide	Purine Metabolism, (Hypo)Xanthine/Inosine containing	1107	LC/MS Polar	1002
18	allo-threonine	Amino Acid	Glycine, Serine and Threonine Metabolism	15142	LC/MS Polar	100000272
3527	alpha-CEHC sulfate	Cofactors and Vitamins	Tocopherol Metabolism	47666	LC/MS Neg	100005972
1476	alpha-hydroxycaproate	Lipid	Fatty Acid, Monohydroxy	37073	LC/MS Neg	100001723
260	alpha-hydroxyisocaproate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	22132	LC/MS Neg	100000706
292	alpha-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	46537	LC/MS Polar	100001300
337	alpha-ketobutyrate	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	4968	LC/MS Polar	796
43	alpha-ketoglutaramate**	Amino Acid	Glutamate Metabolism	62101	LC/MS Polar	100002397
1111	alpha-ketoglutarate	Energy	TCA Cycle	528	LC/MS Polar	93
3516	alpha-tocopherol	Cofactors and Vitamins	Tocopherol Metabolism	1561	LC/MS Pos Late	1105
3517	alpha-tocopherol acetate	Cofactors and Vitamins	Tocopherol Metabolism	38288	LC/MS Pos Late	100002328
3333	adenosine 5'-monophosphate (AMP)	Nucleotide	Purine Metabolism, Adenine containing	32342	LC/MS Pos Early	209
2641	androstenediol (3alpha, 17alpha) monosulfate (2)	Lipid	Androgenic Steroids	37207	LC/MS Neg	100002026
2637	androstenediol (3beta,17beta) disulfate (1)	Lipid	Androgenic Steroids	37202	LC/MS Neg	100001992
2638	androstenediol (3beta,17beta) disulfate (2)	Lipid	Androgenic Steroids	37203	LC/MS Neg	100001994
2634	androstenediol (3beta,17beta) monosulfate (1)	Lipid	Androgenic Steroids	37211	LC/MS Neg	100002028
2628	androsterone sulfate	Lipid	Androgenic Steroids	31591	LC/MS Neg	100001073
80	anserine	Amino Acid	Histidine Metabolism	15747	LC/MS Pos Early	100000044
3789	apigenin	Xenobiotics	Food Component/Plant	21189	LC/MS Neg	100000935
954	arabinose	Carbohydrate	Pentose Metabolism	575	LC/MS Polar	828
969	arabitol/xylitol	Carbohydrate	Pentose Metabolism	48885	LC/MS Polar	100006430
971	arabonate/xylonate	Carbohydrate	Pentose Metabolism	48255	LC/MS Polar	100006115
1182	arachidate (20:0)	Lipid	Long Chain Fatty Acid	1118	LC/MS Neg	893
1214	arachidonate (20:4n6)	Lipid	Polyunsaturated Fatty Acid (n3 and n6)	1110	LC/MS Neg	229
1649	arachidoyl ethanolamide (20:0)*	Lipid	Endocannabinoid	57532	LC/MS Pos Late	100015853
388	argininate*	Amino Acid	Urea cycle; Arginine and Proline Metabolism	57461	LC/MS Pos Early	100002769
357	arginine	Amino Acid	Urea cycle; Arginine and Proline Metabolism	1638	LC/MS Pos Early	231
358	argininosuccinate	Amino Acid	Urea cycle; Arginine and Proline Metabolism	15497	LC/MS Pos Early	232
38	asparagine	Amino Acid	Alanine and Aspartate Metabolism	512	LC/MS Pos Early	917
34	aspartate	Amino Acid	Alanine and Aspartate Metabolism	443	LC/MS Pos Early	234
1307	azelate (C9-DC)	Lipid	Fatty Acid, Dicarboxylate	18362	LC/MS Polar	2029
4310	azithromycin	Xenobiotics	Drug - Antibiotic	52966	LC/MS Pos Late	100008963
1650	behenoyl ethanolamide (22:0)*	Lipid	Endocannabinoid	57534	LC/MS Pos Late	100015854
3615	benzoate	Xenobiotics	Benzoate Metabolism	15778	LC/MS Neg	100000008
3427	beta-alanine	Nucleotide	Pyrimidine Metabolism, Uracil containing	55	LC/MS Pos Early	244
53	beta-citrylglutamate	Amino Acid	Glutamate Metabolism	54923	LC/MS Neg	100003271
3855	beta-guanidinopropanoate	Xenobiotics	Food Component/Plant	35101	LC/MS Pos Early	100001411
272	beta-hydroxyisovalerate	Amino Acid	Leucine, Isoleucine and Valine Metabolism	12129	LC/MS Polar	1442
6	betaine	Amino Acid	Glycine, Serine and Threonine Metabolism	3141	LC/MS Pos Early	799
2524	beta-sitosterol	Lipid	Sterol	27414	LC/MS Pos Late	100001033
3832	betonicine	Xenobiotics	Food Component/Plant	38100	LC/MS Pos Early	100002153
3561	bilirubin (Z,Z)	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	43807	LC/MS Pos Late	1090
3564	biliverdin	Cofactors and Vitamins	Hemoglobin and Porphyrin Metabolism	2137	LC/MS Pos Late	250
1372	butyrylcarnitine (C4)	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	32412	LC/MS Pos Early	100001054
1373	butyrylglycine	Lipid	Fatty Acid Metabolism (also BCAA Metabolism)	31850	LC/MS Neg	100001151
112	cadaverine	Amino Acid	Lysine Metabolism	15308	LC/MS Pos Early	100000110
3706	caffeic acid sulfate	Xenobiotics	Xanthine Metabolism	53254	LC/MS Polar	100009337
2526	campesterol	Lipid	Sterol	33997	LC/MS Pos Late	100001269
1152	caprate (10:0)	Lipid	Medium Chain Fatty Acid	1642	LC/MS Neg	888
